stop_id,name,abbrev,code_insee,lat,lon
87296269,Bohain-en-Vermandois,BHI,02095,49.9884143,3.4431289
87684407,Boigneville,BWI,91069,48.342078,2.3789793
87381079,Bois-Colombes,BCO,92009,48.91348,2.27256
87721787,Bois-d'Oingt - Légny,BDO,69111,45.9065839,4.575043
87682203,Bois-le-Roi,BJR,77037,48.475567,2.691606
87342071,Boisleux-au-Mont,BLX,62151,50.2104665,2.771855
87543082,Boisseaux,BAX,45037,48.2566238,1.9727681
87645184,Boisset,BCL,15021,44.786038,2.2497669
87682518,Boissise-le-Roi,BKR,77040,48.529319,2.572953
87381152,Boissy-l'Aillerie,BLA,95078,49.07598,2.02513
87764357,Bollène La Croisière,BLN,84019,44.271525,4.707908
87182709,Bollwiller,BOW,68043,47.8569694,7.2672555
87142224,Bologne,BOG,52058,48.1986877,5.1342228
87113407,Bondy,BDY,93010,48.894208,2.4786
87478065,Bonnemain,BMV,35029,48.4764049,-1.7654125
87545731,Bonneval,BOJ,28051,48.1862958,1.3861845
87746339,Bonneville,BON,74042,46.077772,6.416524
87415893,Bonnières-sur-Seine,BNR,78089,49.038788,1.582205
87745596,Bons-en-Chablais,BAB,74043,46.270046,6.366246
87726414,Bonson,BSN,42022,45.5221941,4.2163084
87276444,Boran-sur-Oise,BRN,60086,49.1671348,2.362537
87581009,Bordeaux Saint-Jean,BXJ,33063,44.825873,-0.556697
87491019,Bords,BOR,17053,45.8944625,-0.7985436
87276717,Bornel - Belle-Église,BBI,60088,49.19471,2.20717
87481200,Bouaye,BLQ,44018,47.1380806,-1.6810992
87673095,Boucau,BUU,64140,43.5234217,-1.4905872
87345389,Bouchain,BAK,59092,50.2780892,3.3319096
87775346,Boucoiran-et-Nozières,BKW,30046,43.9926943,4.187634
87276485,Bouffémont - Moisselles,BOF,95091,49.04514,2.32272
87382440,Bougival,BGV,78126,48.8542135,2.1323749
87543181,Boulainvilliers,BWR,75116,48.85645,2.275149
87725473,Boulazac,BZC,24053,45.172291,0.772645
87317016,Boulogne Tintelleries,BKI,62160,50.72729,1.60904
87317586,Boulogne-sur-Mer,BEM,62160,50.7157,1.60964
87757534,Boulouris sur Mer,BOU,83118,43.4163471,6.8082519
87545178,Bouray,BSO,91330,48.533149,2.290596
87281279,Bourbourg,BBU,59094,50.952267,2.1942305
87214775,Bourg-Bruche,BFZ,67059,48.3598566,7.1371919
87743005,Bourg-en-Bresse,BGB,01053,46.200351,5.215063
87784876,Bourg-Madame,BMD,66025,42.4324069,1.9486704
87741793,Bourg-Saint-Maurice,BSM,73054,45.619036,6.771273
87576207,Bourges,BGS,18033,47.094145,2.394255
87481242,Bourgneuf-en-Retz,BGZ,44021,47.0469634,-1.9551942
87723429,Bourgoin-Jallieu,BRG,38053,45.583954,5.273401
87415323,Bourgtheroulde - Thuit-Hébert,BGT,27637,49.3174381,0.8383198
87486324,Bournezeau,BNZ,85034,46.6518258,-1.1806169
87684118,Bourron-Marlotte - Grez,BOM,77048,48.3326884,2.6924552
87481176,Boussay - La Bruffière,BBF,44022,47.0505741,-1.1828046
87611095,Boussens,BQY,31084,43.179617,0.972543
87682138,Boussy-Saint-Antoine,BXI,91097,48.680893,2.532726
87726216,Bouthéon,BOH,42005,45.5246289,4.2777187
87681478,Boutigny-sur-Essonne,BJN,91099,48.43495,2.37636
87313213,Boves,BOV,80131,49.8462355,2.3981165
87615054,Bram,BRA,11049,43.2441014,2.1191467
87476242,Brandérion,BPZ,56021,47.7823179,-3.1940402
87734244,Brassac-les-Mines - Sainte-Florine,BLM,63050,45.414246,3.330167
87611822,Brax - Léguevin,BXL,31088,43.614887,1.236922
87713644,Brazey-en-Plaine,BEP,21103,47.1314549,5.2121276
87413344,Bréauté - Beuzeville,BTB,76141,49.603396,0.417489
